kota;type;provinsi
Jepara;Kabupaten;Jawa Tengah
Sintang;Kabupaten;Kalimantan Barat
Boalemo;Kabupaten;Gorontalo
Jombang;Kabupaten;Jawa Timur
Bogor;Kabupaten;Jawa Barat
Situbondo;Kabupaten;Jawa Timur
Kaimana;Kabupaten;Papua Barat
Bogor;Kota;Jawa Barat
Sleman;Kabupaten;DI Yogyakarta
Kampar;Kabupaten;Riau
Bojonegoro;Kabupaten;Jawa Timur
Solok;Kabupaten;Sumatera Barat
Bolaang Mongondow;Kabupaten;Sulawesi Utara
Bolaang Mongondow Selatan;Kabupaten;Sulawesi Utara
Solok;Kota;Sumatera Barat
Kapuas;Kabupaten;Kalimantan Tengah
Solok Selatan;Kabupaten;Sumatera Barat
Bolaang Mongondow Timur;Kabupaten;Sulawesi Utara
Kapuas Hulu;Kabupaten;Kalimantan Barat
Karanganyar;Kabupaten;Jawa Tengah
Karangasem;Kabupaten;Bali
Bolaang Mongondow Utara;Kabupaten;Sulawesi Utara
Karawang;Kabupaten;Jawa Barat
Bombana;Kabupaten;Sulawesi Tenggara
Karimun;Kabupaten;Kepulauan Riau
Bondowoso;Kabupaten;Jawa Timur
Karo;Kabupaten;Sumatera Utara
Soppeng;Kabupaten;Sulawesi Selatan
Katingan;Kabupaten;Kalimantan Tengah
Kaur;Kabupaten;Bengkulu
Sorong;Kabupaten;Papua Barat Daya
Kayong Utara;Kabupaten;Kalimantan Barat
Sorong;Kota;Papua Barat Daya
Sorong Selatan;Kabupaten;Papua Barat Daya
Kebumen;Kabupaten;Jawa Tengah
Sragen;Kabupaten;Jawa Tengah
Kediri;Kabupaten;Jawa Timur
Subang;Kabupaten;Jawa Barat
Subulussalam;Kota;Aceh (NAD)
Sukabumi;Kota;Jawa Barat
Kediri;Kota;Jawa Timur
Bone;Kabupaten;Sulawesi Selatan
Keerom;Kabupaten;Papua
Sukabumi;Kabupaten;Jawa Barat
Bone Bolango;Kabupaten;Gorontalo
Kendal;Kabupaten;Jawa Tengah
Bontang;Kota;Kalimantan Timur
Kendari;Kota;Sulawesi Tenggara
Boven Digoel;Kabupaten;Papua Selatan
Kepahiang;Kabupaten;Bengkulu
Boyolali;Kabupaten;Jawa Tengah
Sukamara;Kabupaten;Kalimantan Tengah
Kepulauan Anambas;Kabupaten;Kepulauan Riau
Sukoharjo;Kabupaten;Jawa Tengah
Sumba Barat;Kabupaten;Nusa Tenggara Timur (NTT)
Brebes;Kabupaten;Jawa Tengah
Bukittinggi;Kota;Sumatera Barat
Buleleng;Kabupaten;Bali
Bulukumba;Kabupaten;Sulawesi Selatan
Sumba Barat Daya;Kabupaten;Nusa Tenggara Timur (NTT)
Sumba Tengah;Kabupaten;Nusa Tenggara Timur (NTT)
Sumba Timur;Kabupaten;Nusa Tenggara Timur (NTT)
Bulungan;Kabupaten;Kalimantan Utara
Sumbawa;Kabupaten;Nusa Tenggara Barat (NTB)
Bungo;Kabupaten;Jambi
Sumbawa Barat;Kabupaten;Nusa Tenggara Barat (NTB)
Buol;Kabupaten;Sulawesi Tengah
Sumedang;Kabupaten;Jawa Barat
Buru;Kabupaten;Maluku
Buru Selatan;Kabupaten;Maluku
Kepulauan Aru;Kabupaten;Maluku
Sumenep;Kabupaten;Jawa Timur
Buton;Kabupaten;Sulawesi Tenggara
Sungai Penuh;Kota;Jambi
Buton Selatan;Kabupaten;Sulawesi Tenggara
Supiori;Kabupaten;Papua
Buton Tengah;Kabupaten;Sulawesi Tenggara
Buton Utara;Kabupaten;Sulawesi Tenggara
Surabaya;Kota;Jawa Timur
Kepulauan Mentawai;Kabupaten;Sumatera Barat
Ciamis;Kabupaten;Jawa Barat
Surakarta;Kota;Jawa Tengah
Kepulauan Meranti;Kabupaten;Riau
Cianjur;Kabupaten;Jawa Barat
Tabalong;Kabupaten;Kalimantan Selatan
Kepulauan Sangihe;Kabupaten;Sulawesi Utara
Kepulauan Selayar;Kabupaten;Sulawesi Selatan
Cilacap;Kabupaten;Jawa Tengah
Cilegon;Kota;Banten
Tabanan;Kabupaten;Bali
Cimahi;Kota;Jawa Barat
Kepulauan Seribu;Kabupaten;DKI Jakarta
Takalar;Kabupaten;Sulawesi Selatan
Cirebon;Kota;Jawa Barat
Kepulauan Siau Tagulandang Biaro (Sitaro);Kabupaten;Sulawesi Utara
Kepulauan Sula;Kabupaten;Maluku Utara
Tambrauw;Kabupaten;Papua Barat Daya
Kepulauan Talaud;Kabupaten;Sulawesi Utara
Kepulauan Tanimbar (Maluku Tenggara Barat);Kabupaten;Maluku
Cirebon;Kabupaten;Jawa Barat
Dairi;Kabupaten;Sumatera Utara
Tana Tidung;Kabupaten;Kalimantan Utara
Deiyai;Kabupaten;Papua Tengah
Kepulauan Yapen;Kabupaten;Papua
Deli Serdang;Kabupaten;Sumatera Utara
Tana Toraja;Kabupaten;Sulawesi Selatan
Demak;Kabupaten;Jawa Tengah
Kerinci;Kabupaten;Jambi
Tanah Bumbu;Kabupaten;Kalimantan Selatan
Denpasar;Kota;Bali
Ketapang;Kabupaten;Kalimantan Barat
Depok;Kota;Jawa Barat
Tanah Datar;Kabupaten;Sumatera Barat
Klaten;Kabupaten;Jawa Tengah
Dharmasraya;Kabupaten;Sumatera Barat
Tanah Laut;Kabupaten;Kalimantan Selatan
Dogiyai;Kabupaten;Papua Tengah
Klungkung;Kabupaten;Bali
Kolaka;Kabupaten;Sulawesi Tenggara
Tangerang;Kota;Banten
Kolaka Timur;Kabupaten;Sulawesi Tenggara
Tangerang;Kabupaten;Banten
Tangerang Selatan;Kota;Banten
Tanggamus;Kabupaten;Lampung
Kolaka Utara;Kabupaten;Sulawesi Tenggara
Konawe;Kabupaten;Sulawesi Tenggara
Konawe Kepulauan;Kabupaten;Sulawesi Tenggara
Tanjung Balai;Kota;Sumatera Utara
Konawe Selatan;Kabupaten;Sulawesi Tenggara
Konawe Utara;Kabupaten;Sulawesi Tenggara
Kotabaru;Kabupaten;Kalimantan Selatan
Tanjung Jabung Barat;Kabupaten;Jambi
Kotamobagu;Kota;Sulawesi Utara
Tanjung Jabung Timur;Kabupaten;Jambi
Kotawaringin Barat;Kabupaten;Kalimantan Tengah
Kotawaringin Timur;Kabupaten;Kalimantan Tengah
Tanjung Pinang;Kota;Kepulauan Riau
Kuantan Singingi;Kabupaten;Riau
Tapanuli Selatan;Kabupaten;Sumatera Utara
Kubu Raya;Kabupaten;Kalimantan Barat
Kudus;Kabupaten;Jawa Tengah
Tapanuli Tengah;Kabupaten;Sumatera Utara
Tapanuli Utara;Kabupaten;Sumatera Utara
Tapin;Kabupaten;Kalimantan Selatan
Tarakan;Kota;Kalimantan Utara
